,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,64.0,128.0,4096.0,6813.2490625,3.6828373310810814,530.3316447704988
0,64.0,128.0,8192.0,9150.8109375,4.946384290540541,789.7182965561947
0,64.0,128.0,16384.0,13882.1728125,7.503877195945946,1041.1284632420352
0,64.0,128.0,32768.0,23247.5790625,12.566258952702702,1243.4090493815593
0,64.0,256.0,32.0,3519.2059375,1.9022734797297298,16.042690576716158
0,64.0,256.0,64.0,3850.3096875,2.0812484797297297,29.326224537142267
0,64.0,256.0,128.0,4342.0134375,2.347034290540541,52.01045534137844
0,64.0,256.0,256.0,4819.8115625,2.605303547297297,93.70910322801637
0,64.0,256.0,512.0,5088.9409375,2.7507788851351354,177.50656529750563
0,64.0,256.0,1024.0,5715.3609375,3.0893842905405404,316.1026324910532
0,64.0,256.0,2048.0,6932.9303125,3.7475298986486485,521.1766463211875
0,64.0,256.0,4096.0,9355.1940625,5.056861655405406,772.465294732839
0,64.0,256.0,8192.0,14230.7303125,7.692286655405406,1015.6277862388129
0,64.0,256.0,16384.0,23474.5021875,12.688920101351352,1231.3892666796282
0,64.0,256.0,32768.0,42507.4571875,22.977003885135137,1360.0554806442449
0,64.0,512.0,32.0,4174.7815625,2.2566386824324325,27.046936566165073
0,64.0,512.0,64.0,4312.4328125,2.3310447635135136,52.36722002792147
0,64.0,512.0,128.0,5218.6371875,2.820884966216216,86.5475315556271
0,64.0,512.0,256.0,5116.4359375,2.765641047297297,176.55266694788014
0,64.0,512.0,512.0,5794.4671875,3.132144425675676,311.7872079266174
0,64.0,512.0,1024.0,7107.7821875,3.842044425675675,508.35567562586226
0,64.0,512.0,2048.0,9661.2078125,5.222274493243243,747.9978523169626
0,64.0,512.0,4096.0,14494.1865625,7.834695439189189,997.1670323002633
0,64.0,512.0,8192.0,24166.5690625,13.063010304054053,1196.1255271142063
0,64.0,512.0,16384.0,43065.7690625,23.27879408783784,1342.4234912704962
0,64.0,512.0,32768.0,75480.2634375,40.80014239864865,1531.8573987480213
0,128.0,16.0,32.0,3066.5771875,1.6576092905405406,1.1506623936716684
0,128.0,16.0,64.0,3253.8853125,1.7588569256756756,2.1688505898110417
0,128.0,16.0,128.0,3337.7896875,1.804210641891892,4.228661261140007
0,128.0,16.0,256.0,3566.4484375,1.9278099662162163,7.915091643506521
0,128.0,16.0,512.0,3727.9228125,2.0150934121621624,15.144499703764911
0,128.0,16.0,1024.0,4024.3053125,2.175300168918919,28.058276022775615
0,128.0,16.0,2048.0,4473.8259375,2.4182842905405404,50.478072381447774
0,128.0,16.0,4096.0,5229.9290625,2.826988682432433,86.36067627516269
0,128.0,16.0,8192.0,6425.6265625,3.4733116554054053,140.58089225905516
0,128.0,16.0,16384.0,7683.2490625,4.153107601351351,235.14020153065795
0,128.0,16.0,32768.0,8942.4465625,4.833754898648649,404.0595865439721
0,128.0,32.0,32.0,3170.4415625,1.713752195945946,2.2259336037187016
0,128.0,32.0,64.0,3230.2640625,1.7460886824324324,4.369420403277101
0,128.0,32.0,128.0,3578.2596875,1.9341944256756758,7.888965229735947
0,128.0,32.0,256.0,3703.5671875,2.0019282094594595,15.244092604771259
0,128.0,32.0,512.0,4053.2503125,2.1909461148648646,27.85790097398097
0,128.0,32.0,1024.0,4484.8746875,2.424256587837838,50.35371380609968
0,128.0,32.0,2048.0,5221.0646875,2.8221971283783787,86.50729597203261
0,128.0,32.0,4096.0,6455.5990625,3.4895130067567566,139.92819738292056
0,128.0,32.0,8192.0,7736.8365625,4.182073817567567,233.51154410645302
0,128.0,32.0,16384.0,8960.3296875,4.843421452702703,403.2531639986213
0,128.0,32.0,32768.0,11413.0303125,6.169205574324324,633.1852688763915
0,128.0,64.0,32.0,3362.5128125,1.8175744932432432,4.197569843223338
0,128.0,64.0,64.0,3638.1634375,1.9665748310810809,7.759070192423103
0,128.0,64.0,128.0,3698.8578125,1.9993826013513516,15.263503453776803
0,128.0,64.0,256.0,4045.0559375,2.186516722972973,27.914338204063533
0,128.0,64.0,512.0,4623.4690625,2.499172466216216,48.84430070394843
0,128.0,64.0,1024.0,5202.6421875,2.8122390202702707,86.81361315258579
0,128.0,64.0,2048.0,6432.4234375,3.476985641891892,140.43236340300098
0,128.0,64.0,4096.0,7731.6078125,4.179247466216216,233.66947637780768
0,128.0,64.0,8192.0,8936.5959375,4.8305923986486485,404.3241235656112
0,128.0,64.0,16384.0,11316.9103125,6.1172488175675666,638.5632191192485
0,128.0,64.0,32768.0,16126.8015625,8.717190033783783,896.2177132430952
0,128.0,128.0,32.0,3686.4878125,1.992696114864865,7.657359885142099
0,128.0,128.0,64.0,3758.8378125,2.031804222972973,15.019941588285421
0,128.0,128.0,128.0,4078.6734375,2.2046883445945946,27.68425984851573
0,128.0,128.0,256.0,4714.4378125,2.5483447635135135,47.90181190079141
0,128.0,128.0,512.0,5374.3628125,2.90506097972973,84.03976205943654
0,128.0,128.0,1024.0,6621.2915625,3.5790765202702697,136.4266040174856
0,128.0,128.0,2048.0,7734.4978125,4.180809628378379,233.5821721520722
0,128.0,128.0,4096.0,8907.1534375,4.814677533783784,405.6606189387291
0,128.0,128.0,8192.0,11256.6334375,6.0846667229729725,641.9825796848785
0,128.0,128.0,16384.0,16020.7509375,8.659865371621622,902.1502978430077
0,128.0,128.0,32768.0,25376.9384375,13.717264020270273,1139.0755488971859
0,128.0,256.0,32.0,3776.7303125,2.0414758445945944,14.948783385596455
0,128.0,256.0,64.0,4067.0315625,2.198395439189189,27.7635067028693
0,128.0,256.0,128.0,4708.4359375,2.5451005067567567,47.962872464564214
0,128.0,256.0,256.0,5548.1709375,2.9990113175675672,81.40704087270392
0,128.0,256.0,512.0,7069.1271875,3.8211498310810814,127.78386054454553
0,128.0,256.0,1024.0,7843.2321875,4.239584966216216,230.3439043854647
0,128.0,256.0,2048.0,9093.6665625,4.915495439189189,397.34043452025077
0,128.0,256.0,4096.0,11456.8634375,6.192899155405405,630.7627375545778
0,128.0,256.0,8192.0,16360.5471875,8.843539020270269,883.413305775384
0,128.0,256.0,16384.0,25997.1040625,14.052488682432433,1111.902700214906
0,128.0,256.0,32768.0,44829.9953125,24.232429898648647,1289.594157145721
0,128.0,512.0,32.0,4330.6003125,2.3408650337837837,26.07376228629525
0,128.0,512.0,64.0,4768.1890625,2.5773994932432434,47.361815112215744
0,128.0,512.0,128.0,5567.2984375,3.0093505067567565,81.1273552609694
0,128.0,512.0,256.0,7188.6734375,3.8857694256756754,125.65883528349215
0,128.0,512.0,512.0,7954.0534375,4.299488344594595,227.13458481188584
0,128.0,512.0,1024.0,9279.9153125,5.016170439189189,389.36576919018376
0,128.0,512.0,2048.0,11953.9971875,6.461620101351351,604.5310630452403
0,128.0,512.0,4096.0,17313.5171875,9.358657939189188,834.7885044490824
0,128.0,512.0,8192.0,26536.8909375,14.34426537162162,1089.285486166285
0,128.0,512.0,16384.0,46052.2940625,24.893131925675675,1255.3663447514984
0,128.0,512.0,32768.0,78097.7096875,42.21497820945946,1480.5171695441716
0,256.0,16.0,32.0,3268.1946875,1.766591722972973,1.0796771782997079
0,256.0,16.0,64.0,3319.7109375,1.7944383445945946,2.1258452826055874
0,256.0,16.0,128.0,3511.9834375,1.8983694256756758,4.01892070692139
0,256.0,16.0,256.0,3950.3459375,2.1353221283783785,7.145897087828711
0,256.0,16.0,512.0,4033.9359375,2.180505912162162,13.995642184462369
0,256.0,16.0,1024.0,4449.6571875,2.4052201013513512,25.376123244130476
0,256.0,16.0,2048.0,4995.6184375,2.700334290540541,45.205632460977775
0,256.0,16.0,4096.0,5974.5284375,3.229474831081081,75.59763307882959
0,256.0,16.0,8192.0,7463.2696875,4.034199831081081,121.0354664591913
0,256.0,16.0,16384.0,9951.9021875,5.379406587837838,181.53722263221442
0,256.0,16.0,32768.0,13191.1503125,7.130351520270271,273.9170759637588
0,256.0,32.0,32.0,3337.7390625,1.804183277027027,2.114362908120931
0,256.0,32.0,64.0,3547.8615625,1.9177630067567566,3.9782784063892977
0,256.0,32.0,128.0,3812.7159375,2.060927533783784,7.403847607234528
0,256.0,32.0,256.0,4100.6715625,2.216579222972973,13.767873723026689
0,256.0,32.0,512.0,4461.7634375,2.41176402027027,25.307269975950124
0,256.0,32.0,1024.0,5037.2965625,2.7228630067567563,44.831606819732045
0,256.0,32.0,2048.0,5979.9115625,3.232384628378378,75.52957126084486
0,256.0,32.0,4096.0,7536.3878125,4.073723141891892,119.86118514591843
0,256.0,32.0,8192.0,10260.5184375,5.5462261824324335,176.07693599390663
0,256.0,32.0,16384.0,13204.2184375,7.137415371621621,273.64598639924895
0,256.0,32.0,32768.0,15661.2315625,8.465530574324324,461.430031201357
0,256.0,64.0,32.0,3566.8421875,1.9280228040540541,3.9571086256593
0,256.0,64.0,64.0,3909.4453125,2.1132136824324323,7.220657185360746
0,256.0,64.0,128.0,4118.8215625,2.2263900337837836,13.707203034751899
0,256.0,64.0,256.0,4522.2940625,2.444483277027027,24.96853161222785
0,256.0,64.0,512.0,5068.7309375,2.7398545608108105,44.553582067877734
0,256.0,64.0,1024.0,6082.5953125,3.2878893581081083,74.2545174792791
0,256.0,64.0,2048.0,7572.4990625,4.093242736486487,119.28959476840801
0,256.0,64.0,4096.0,10237.0790625,5.533556249999999,176.48009314478892
0,256.0,64.0,8192.0,13118.7828125,7.091233952702703,275.42808923133236
0,256.0,64.0,16384.0,15534.8121875,8.397195777027028,465.1850613112228
0,256.0,64.0,32768.0,20335.7453125,10.992294763513515,710.725122289268
0,256.0,128.0,32.0,3909.0540625,2.113002195945946,7.221379684932009
0,256.0,128.0,64.0,4144.4346875,2.240234966216216,13.622494446927396
0,256.0,128.0,128.0,4504.8421875,2.435049831081081,25.065262551620325
0,256.0,128.0,256.0,5115.9878125,2.765398817567568,44.14202956656758
0,256.0,128.0,512.0,6400.4534375,3.4597045608108106,70.56690569127178
0,256.0,128.0,1024.0,7860.3484375,4.248836993243244,114.92115592956472
0,256.0,128.0,2048.0,10258.3484375,5.545053209459459,176.11418546640797
0,256.0,128.0,4096.0,13124.8234375,7.094499155405405,275.30132433371784
0,256.0,128.0,8192.0,15468.7009375,8.361459966216216,467.1732011073756
0,256.0,128.0,16384.0,20188.6915625,10.912806250000001,715.9020237779993
0,256.0,128.0,32768.0,29596.4121875,15.998060641891893,976.6808870087598
0,256.0,256.0,32.0,4197.2271875,2.2687714527027025,13.451148748736271
0,256.0,256.0,64.0,4504.6946875,2.434970101351351,25.066081934899515
0,256.0,256.0,128.0,5110.2428125,2.7622934121621627,44.19165519734065
0,256.0,256.0,256.0,6484.2453125,3.504997466216216,69.65501130468402
0,256.0,256.0,512.0,8412.9553125,4.547543412162162,107.37253373226889
0,256.0,256.0,1024.0,10803.9940625,5.83999679054054,167.21969886855896
0,256.0,256.0,2048.0,13299.4728125,7.1889042229729725,271.68605506522175
0,256.0,256.0,4096.0,15685.5340625,8.478667060810812,460.71511222155465
0,256.0,256.0,8192.0,20578.8459375,11.123700506756755,702.3292320587465
0,256.0,256.0,16384.0,30220.7609375,16.335546452702705,956.5030516658338
0,256.0,256.0,32768.0,49829.5340625,26.93488327702703,1160.2055123320786
0,256.0,512.0,32.0,4877.2140625,2.6363319256756754,23.15154692522684
0,256.0,512.0,64.0,5398.5259375,2.918122128378379,41.83180546436747
0,256.0,512.0,128.0,6479.4615625,3.502411655405405,69.70643682733719
0,256.0,512.0,256.0,8767.1834375,4.739018074324324,103.03426914903008
0,256.0,512.0,512.0,11464.6146875,6.19708902027027,157.584071964498
0,256.0,512.0,1024.0,13575.4840625,7.338099493243244,266.1622404742555
0,256.0,512.0,2048.0,16196.5796875,8.75490793918919,446.1783121588062
0,256.0,512.0,4096.0,21654.7221875,11.705255236486487,667.4352566236704
0,256.0,512.0,8192.0,32167.6415625,17.387914358108105,898.6126624321821
0,256.0,512.0,16384.0,50707.6165625,27.409522466216217,1140.1147200607359
0,256.0,512.0,32768.0,82999.2640625,44.86446706081081,1393.0846414189477
0,512.0,16.0,32.0,3631.7103125,1.9630866554054054,0.9716071098683201
0,512.0,16.0,64.0,3673.9128125,1.9858988175675674,1.9208924479296052
0,512.0,16.0,128.0,3794.3259375,2.050986993243243,3.719865594916856
0,512.0,16.0,256.0,4304.5928125,2.3268069256756756,6.557823887794394
0,512.0,16.0,512.0,4532.2984375,2.4498910472972977,12.45670979297588
0,512.0,16.0,1024.0,5061.4671875,2.7359282094594595,22.308756512348808
0,512.0,16.0,2048.0,5877.5846875,3.1770728040540543,38.42226075525213
0,512.0,16.0,4096.0,7119.8984375,3.8485937499999996,63.43632009534686
0,512.0,16.0,8192.0,9150.2271875,4.94606875,98.7210815393262
0,512.0,16.0,16384.0,12472.3396875,6.741805236486487,144.85178631320431
0,512.0,16.0,32768.0,17277.2315625,9.339044087837838,209.13543133952783
0,512.0,32.0,32.0,3717.0896875,2.009237668918919,1.8985797942167018
0,512.0,32.0,64.0,3818.7971875,2.064214695945946,3.6960276628797843
0,512.0,32.0,128.0,4293.3684375,2.320739695945946,6.574968877976557
0,512.0,32.0,256.0,4538.7490625,2.4533778716216217,12.439005830058646
0,512.0,32.0,512.0,5081.1171875,2.7465498310810808,22.222486027691215
0,512.0,32.0,1024.0,5853.8803125,3.1642596283783786,38.57784395523918
0,512.0,32.0,2048.0,7132.3221875,3.8553092905405406,63.325824042858876
0,512.0,32.0,4096.0,9132.1234375,4.936282939189189,98.91678908779544
0,512.0,32.0,8192.0,12611.2821875,6.816909290540541,143.2559054867469
0,512.0,32.0,16384.0,17852.9571875,9.650247128378378,202.39119028969802
0,512.0,32.0,32768.0,23977.2090625,12.960653547297298,301.39298114781747
0,512.0,64.0,32.0,3770.9878125,2.0383717905405403,3.742887083102659
0,512.0,64.0,64.0,4407.3115625,2.382330574324324,6.404984770210274
0,512.0,64.0,128.0,4538.5596875,2.4532755067567567,12.439523552097413
0,512.0,64.0,256.0,5164.5171875,2.7916309121621623,21.86362118840054
0,512.0,64.0,512.0,5877.9765625,3.177284628378378,38.419698328757335
0,512.0,64.0,1024.0,7152.7778125,3.866366385135135,63.14472159905946
0,512.0,64.0,2048.0,9324.7821875,5.040422804054055,96.87307619543454
0,512.0,64.0,4096.0,13138.5378125,7.10191233108108,137.5069802303621
0,512.0,64.0,8192.0,17678.9271875,9.556176858108108,204.38351383429784
0,512.0,64.0,16384.0,23884.0265625,12.91028462837838,302.5688532323313
0,512.0,64.0,32768.0,28696.4953125,15.51161908783784,503.65470950175865
0,512.0,128.0,32.0,4329.7278125,2.340393412162162,6.519755007126049
0,512.0,128.0,64.0,4551.4146875,2.4602241554054056,12.40439146393816
0,512.0,128.0,128.0,5153.7184375,2.78579375,21.909435351679402
0,512.0,128.0,256.0,5991.9165625,3.2388738175675678,37.68912267686427
0,512.0,128.0,512.0,7468.3284375,4.0369342905405405,60.47674249518299
0,512.0,128.0,1024.0,10255.6278125,5.543582601351352,88.08045325729108
0,512.0,128.0,2048.0,13528.4759375,7.312689695945946,133.54354595322258
0,512.0,128.0,4096.0,17774.8978125,9.608052871621622,203.28000129497042
0,512.0,128.0,8192.0,23893.4778125,12.915393412162162,302.4491703061685
0,512.0,128.0,16384.0,28596.6053125,15.457624493243243,505.4140128133658
0,512.0,128.0,32768.0,37954.3203125,20.515848817567566,761.6063154983008
0,512.0,256.0,32.0,4965.5834375,2.6840991554054052,11.369766324110785
0,512.0,256.0,64.0,5519.2309375,2.983368074324324,20.45847498038391
0,512.0,256.0,128.0,5933.6115625,3.2073576013513514,38.05947017223568
0,512.0,256.0,256.0,7727.1328125,4.176828547297298,58.4511973354144
0,512.0,256.0,512.0,10189.4840625,5.5078292229729735,88.6522162902959
0,512.0,256.0,1024.0,13858.5446875,7.4911052364864865,130.36294065473487
0,512.0,256.0,2048.0,18597.6184375,10.052766722972972,194.28730961554723
0,512.0,256.0,4096.0,24118.6140625,13.037088682432431,299.62594520355697
0,512.0,256.0,8192.0,29044.9884375,15.699993749999999,497.6116638973449
0,512.0,256.0,16384.0,38638.8115625,20.885844087837835,748.1143665262798
0,512.0,256.0,32768.0,58241.6278125,31.481960979729728,992.6319409685643
0,512.0,512.0,32.0,6605.5046875,3.5705430743243243,17.094083033986973
0,512.0,512.0,64.0,6527.2321875,3.5282336148648654,34.598138332815104
0,512.0,512.0,128.0,8196.2640625,4.430413006756757,55.10561451725566
0,512.0,512.0,256.0,10612.5153125,5.736494763513514,85.11840000950988
0,512.0,512.0,512.0,14783.0609375,7.99084375,122.21018772594181
0,512.0,512.0,1024.0,19647.7659375,10.620414020270271,183.9029062344174
0,512.0,512.0,2048.0,24783.4034375,13.39643429054054,291.58878744581017
0,512.0,512.0,4096.0,30097.1578125,16.268733952702704,480.2156109244794
0,512.0,512.0,8192.0,40652.6959375,21.97443023648649,711.0537047901832
0,512.0,512.0,16384.0,62142.9178125,33.59076638513513,930.3151843778221
0,512.0,512.0,32768.0,92763.8284375,50.142609966216206,1246.4448910610943
0,1024.0,16.0,32.0,3956.1721875,2.1384714527027024,0.8919215204849299
0,1024.0,16.0,64.0,4023.0384375,2.1746153716216217,1.7541943293418873
0,1024.0,16.0,128.0,4190.7628125,2.265277195945946,3.367973990662606
0,1024.0,16.0,256.0,4826.7665625,2.6090630067567564,5.84837909604842
0,1024.0,16.0,512.0,5205.2834375,2.8136667229729726,10.846196186597872
0,1024.0,16.0,1024.0,5892.8984375,3.1853505067567562,19.161206977547803
0,1024.0,16.0,2048.0,6934.6509375,3.7484599662162155,32.56545993962045
0,1024.0,16.0,4096.0,8692.6171875,4.6987119932432435,51.959053140382046
0,1024.0,16.0,8192.0,11340.6296875,6.130070101351351,79.65345354269444
0,1024.0,16.0,16384.0,15754.2465625,8.515808952702702,114.67642296948284
0,1024.0,16.0,32768.0,22102.3165625,11.947198141891892,163.47975435803176
0,1024.0,32.0,32.0,4125.0740625,2.229769763513514,1.710803538461902
